Freq kHz;"Mode";"Ident";"Notes";"Extension";"Type";PB low;PB high;Offset;"DOW";Begin;End
8060;"CW";"RIS9 CHN";"10PM";;"T1";;;;;;
8073;"USB";"FSK";"11PM";;"T1";;;;;;
8077;"USB";"CW/FSK";"10PM";;"T1";;;;;;
8092;"USB";"FSK";"4AM";;"T1";;;;;;
8096;"CWN";"CW";"6AM";;"T1";;;;;;
8098.5;"USB";"STANAG?";"weak, 6PM";;"T1";;;;;;
8110;"CW";"CW";"1130PM";;"T1";;;;;;
8113;"USB";"VMW AUS";"marine weather, weak, 10PM";;"T1";;;;;;
8123.5;"USB";"STANAG";"weak, 6PM";;"T1";;;;;;
8135;"USB";"FSK";"6PM";;"T1";;;;;;
8144;"USB";"STANAG";;;"T1";;;;;;
8156.5;"USB";"STANAG 4285";"6PM";;"T1";;;;;;
8159.05;"CWN";"4XZ ISR";"Israel navy, 7PM";;"T1";;;;;;
8176;"USB";"VMC AUS";"marine weather, 8PM";;"T1";;;;;;
8183.5;"CW";"KKL28 WA/USA";"PACTOR, 6PM";;"T1";;;;;;
8223.5;"USB";"?wide-digital";"6PM";;"T1";;;;;;
8288;"USB";"SITOR";"6PM";;"T1";;;;;;
8300.7;"USB";"intermittent STANAG?";"loud, 3PM";;"T1";;;;;;
8310;"CW";"SITOR";"10PM";;"T1";;;;;;
8313;"USB";"slot machine JPN";;;"T1";;;;;;
8322;"USB";"LINK-11";"7PM";;"T1";;;;;;
